width,space,ctt,cself,ctsv
2.4999999999999998e-06,9e-06,-1.4926918676087806e-16,3.4251238161913504e-15,3.275854629430472e-15
2.4999999999999998e-06,9.5e-06,-1.4018629202403596e-16,3.4208113706264244e-15,3.2806250786023885e-15
2.4999999999999998e-06,9.999999999999999e-06,-1.3201168676087807e-16,3.41694010666646e-15,3.284928419905582e-15
2.9999999999999997e-06,5e-07,-3.704314186760878e-15,4.609658946102694e-15,9.05344759341816e-16
2.9999999999999997e-06,1e-06,-1.840504186760878e-15,3.947755625977133e-15,2.107251439216255e-15
2.9999999999999997e-06,1.5e-06,-1.2192341867608779e-15,3.7190572066645255e-15,2.4998230199036477e-15
2.9999999999999997e-06,2e-06,-9.085991867608781e-16,3.601724753664501e-15,2.6931255669036228e-15
2.9999999999999997e-06,2.4999999999999998e-06,-7.22218186760878e-16,3.5299552523844673e-15,2.8077370656235893e-15
2.9999999999999997e-06,2.9999999999999997e-06,-5.97964186760878e-16,3.4814238212526746e-15,2.8834596344917967e-15
2.9999999999999997e-06,3.5e-06,-5.092113296180208e-16,3.446398855911884e-15,2.937187526293863e-15
2.9999999999999997e-06,4e-06,-4.4264668676087807e-16,3.4199357180054284e-15,2.9772890312445504e-15
2.9999999999999997e-06,4.5e-06,-3.90874186760878e-16,3.3992468813627824e-15,3.0083726946019044e-15
2.9999999999999997e-06,5e-06,-3.4945618676087797e-16,3.3826380764817368e-15,3.033181889720859e-15
2.9999999999999997e-06,5.5e-06,-3.1556873221542346e-16,3.3690190106517118e-15,3.0534502784362883e-15
2.9999999999999997e-06,6e-06,-2.8732918676087803e-16,3.357655841780995e-15,3.070326655020117e-15
2.9999999999999997e-06,6.5000000000000004e-06,-2.63434186760878e-16,3.3480363828348795e-15,3.0846021960740015e-15
2.9999999999999997e-06,7e-06,-2.4295275818944947e-16,3.339792259213879e-15,3.0968395010244295e-15
2.9999999999999997e-06,7.5e-06,-2.2520218676087805e-16,3.3326517497092045e-15,3.1074495629483263e-15
2.9999999999999997e-06,8e-06,-2.096704367608781e-16,3.3264100534627905e-15,3.1167396167019125e-15
2.9999999999999997e-06,8.5e-06,-1.9596595146676039e-16,3.320909899625784e-15,3.1249439481590234e-15
2.9999999999999997e-06,9e-06,-1.8378418676087807e-16,3.3160285297757077e-15,3.1322443430148298e-15
2.9999999999999997e-06,9.5e-06,-1.7288471307666753e-16,3.311668735547448e-15,3.1387840224707804e-15
2.9999999999999997e-06,9.999999999999999e-06,-1.630751867608781e-16,3.307752550151039e-15,3.144677363390161e-15
3.5e-06,5e-07,-4.3255841867608776e-15,4.52163506981266e-15,1.960508830517821e-16
3.5e-06,1e-06,-2.1511391867608778e-15,3.859696358489254e-15,1.7085571717283761e-15
3.5e-06,1.5e-06,-1.426324186760878e-15,3.630946980642258e-15,2.2046227938813805e-15
3.5e-06,2e-06,-1.0639166867608781e-15,3.5135553388999866e-15,2.4496386521391087e-15
3.5e-06,2.4999999999999998e-06,-8.46472186760878e-16,3.4417238183048463e-15,2.5952516315439682e-15
3.5e-06,2.9999999999999997e-06,-7.015091867608781e-16,3.3931307281140125e-15,2.6916215413531346e-15
3.5e-06,3.5e-06,-5.9796418676087805e-16,3.358046060563765e-15,2.760081873802887e-15
3.5e-06,4e-06,-5.203054367608781e-16,3.3315258418134886e-15,2.8112204050526106e-15
3.5e-06,4.5e-06,-4.59904186760878e-16,3.3107827291801385e-15,2.8508785424192602e-15
3.5e-06,5e-06,-4.1158318676087795e-16,3.2941224112939957e-15,2.8825392245331176e-15
3.5e-06,5.5e-06,-3.720478231245144e-16,3.280454459741177e-15,2.9084066366166624e-15
3.5e-06,6e-06,-3.391016867608781e-16,3.269044866314011e-15,2.929943179553133e-15
3.5e-06,6.5000000000000004e-06,-3.1122418676087805e-16,3.259381276174312e-15,2.948157089413434e-15
3.5e-06,7e-06,-2.873291867608781e-16,3.2510951570507398e-15,2.9637659702898618e-15
3.5e-06,7.5e-06,-2.666201867608781e-16,3.2439146440846463e-15,2.977294457323768e-15
3.5e-06,8e-06,-2.484998117608781e-16,3.2376348071438467e-15,2.9891349953829687e-15
3.5e-06,8.5e-06,-2.3251124558440746e-16,3.232098259396696e-15,2.9995870138122883e-15
3.5e-06,9e-06,-2.1829918676087807e-16,3.227182138181177e-15,3.008882951420299e-15
3.5e-06,9.5e-06,-2.0558313412929912e-16,3.222789141055558e-15,3.017206006926259e-15
3.5e-06,9.999999999999999e-06,-1.9413868676087808e-16,3.2188412158769158e-15,3.0247025291160375e-15
4e-06,5e-07,-4.946854186760877e-15,4.447646767715525e-15,-4.992074190453514e-16
4e-06,1e-06,-2.4617741867608774e-15,3.785685436055325e-15,1.3239112492944476e-15
4e-06,1.5e-06,-1.6334141867608778e-15,3.556903213386643e-15,1.9234890266257652e-15
4e-06,2e-06,-1.2192341867608779e-15,3.4394730338346924e-15,2.2202388470738145e-15
4e-06,2.4999999999999998e-06,-9.707261867608782e-16,3.367600709620391e-15,2.396874522859513e-15
4e-06,2.9999999999999997e-06,-8.05054186760878e-16,3.3189666488451678e-15,2.51391246208429e-15
4e-06,3.5e-06,-6.867170439037352e-16,3.2838419476254417e-15,2.5971249037217067e-15
4e-06,4e-06,-5.97964186760878e-16,3.2572831329889326e-15,2.6593189462280547e-15
4e-06,4.5e-06,-5.28934186760878e-16,3.236503039266331e-15,2.7075688525054527e-15
4e-06,5e-06,-4.73710186760878e-16,3.2198073724352675e-15,2.7460971856743896e-15
4e-06,5.5e-06,-4.285269140336053e-16,3.20610564935769e-15,2.777578735324085e-15
4e-06,6e-06,-3.90874186760878e-16,3.1946637790473122e-15,2.8037895922864343e-15
4e-06,6.5000000000000004e-06,-3.59014186760878e-16,3.1849693168745665e-15,2.8259551301136886e-15
4e-06,7e-06,-3.3170561533230664e-16,3.1766536432005043e-15,2.844948027868198e-15
4e-06,7.5e-06,-3.0803818676087806e-16,3.169444811977386e-15,2.861406625216508e-15
4e-06,8e-06,-2.8732918676087803e-16,3.1631378191290352e-15,2.8758086323681572e-15
4e-06,8.5e-06,-2.6905653970205454e-16,3.157575210986881e-15,2.8885186712848265e-15
